FileName,AwardTitle,AGENCY,AwardEffectiveDate,AwardExpirationDate,AwardAmount,AbstractNarration
2002362.xml,RUI:  Terpenes as Versatile Building Blocks for Multivalent Polymeric and Nanoparticle Systems,NSF,2020-06-01,2025-05-31,295200,"In this project funded by the Macromolecular, Supramolecular, and Nanochemistry Program in the Division of Chemistry, Professor Peter M. Iovine of the Department of Chemistry at the University of San Diego is transforming terpene building blocks into sustainable polymers and nanoparticles. Terpenes are a large and diverse class of natural compounds, produced by a variety of plants (particularly conifers such as pine trees) and by some insects.  In this research, the team uses light to convert terpenes into defined nanostructures upon interaction with DNA. Structure-function relationships between these polymeric building blocks and the resultant nanoparticle stability, pH dependence and structure are determined.  The project has broader impact by providing scientifically robust training opportunities for undergraduate students. Participating students acquire diverse training in small molecule and polymer synthesis, characterization, and nanomaterials development. Elements of this research are also incorporated into existing chemistry courses at the University of San Diego. <br/><br/>This research is focused on the synthesis of new polymer and nanoparticle systems derived from terpenes. The innovation in the approach is two-fold. First, terpenes and terpene-containing polymers are synthetically modified such that the products display clusters of functional groups. These terpene-based building blocks are then assembled into defined nanostructures through ionic and/or non-covalent interactions leading to functional nanoparticles. The first thrust focuses on the creation of terpene-derived polycationic polymers and the complexation of these polymers by DNA to produce nanoparticles (polyplexes). The second thrust also starts with functional terpenes but focuses on polyborylation instead of polycationization. Once synthesized, polyborylated building blocks form complexes with Lewis basic polymers to produce a new class of boron-rich nanoparticles (boraplexes). The fundamental properties of terpene-derived. boron-rich nanoparticles are systematically investigated, and various factors that affect their assembly elucidated. This project has the potential to expand the utilization of terpenes as a sustainable chemical building block for polymer constructs and nanomaterials. The developed synthetic methodology could also impact development in application areas such as sustainable polyols, surfactants, coatings, and nanocomposites.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2001671.xml,Conference on the Food-Energy-Water Nexus,NSF,2019-12-01,2020-05-31,30000,"This Food-Energy-Water Nexus Conference will be held December 5-6, 3019 in New York City. The conference provides a venue for: (1) Highlighting obstacles and initiatives in the development of technologies related to the food-energy-water nexus, (2) Examining current policies, technologies, methods of analysis, and innovative solutions related to the food-energy-water nexus, (3) Showcasing research done by professionals in fields such as chemical and biological engineering, chemistry, environmental science, and more, (4) Encouraging active participation by graduate student researchers and post docs who represent the future of the field, (5) Bringing scientists and engineers together to provide an atmosphere and venue to discuss their disciplines and approaches, and to motivate new research into barriers limiting the development of technologies that would ensure resource security in the future, (6) Fostering collaborations between government, industry, and academia, and (7) a particular focus on women professionals and scientists from underrepresented groups. &lt;br/&gt;&lt;br/&gt;The conference is designed to bring together researchers from academia and industry to a highly-interactive and engaging meeting, enabling professionals and young researchers to hear from one another through organized talks, panel and Q&amp;A discussions, and poster sessions. Outcomes of the conference will include both evaluation and summary of various ways to measure sustainability as well as novel technological developments related to the food-energy-water nexus. A focus will be on optimizing resource use as to ensure resource security amidst a changing climate and a growing population. Special attention will also be paid to the issue of food waste and its associated impacts on energy and water. Engineers from academia and industry from chemical, civil, electrical, environmental, and mechanical engineering perspectives will be engaged, and a virtual network will be sustained by AIChE to enable continued collaboration.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2002149.xml,PostDoctoral Research Fellowship,NSF,2020-09-01,2024-08-31,150000,"This award is made as part of the FY 2020 Mathematical Sciences Postdoctoral Research Fellowships Program. Each of the fellowships supports a research and training project at a host institution in the mathematical sciences, including applications to other disciplines, under the mentorship of a sponsoring scientist. The title of the project for this fellowship to Austin D. Conner is ""New methods for the complexity of matrix multiplication: border apolarity and prescribed symmetry."" The host institution for the fellowship is Harvard University and the sponsoring scientist is Joseph Harris.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2001502.xml,Tropical and nonarchimedean analytic methods in algebraic geometry,NSF,2020-09-01,2024-08-31,359739,"Algebraic geometry studies solution sets of systems of polynomial equations.  For instance, lines are solution sets of linear polynomial equations, while circles and hyperbolas are solution sets to quadratic polynomial equations, and their study goes back to the ancient Greeks. The solution sets of systems of many polynomial equations in many variables often have beautiful and complicated geometry. The PI will apply new and modern techniques to answer questions of classical interest in the field of algebraic geometry, and to address long standing open problems about the geometry of curves defined by polynomial equations. This project provides research training opportunities for graduate students.&lt;br/&gt;&lt;br/&gt;Over a nonarchimedean field, one can split the problem of understanding such solution sets into two parts. What are the possible valuations of solutions?  And what are the solutions with a given valuation?  The set of valuations of solutions has a rich combinatorial and polyhedral structure, and is the primary object of study in tropical geometry; the solutions with a given valuation can be studied via nonarchimedean analytic geometry.  Recent developments in these fields make it possible to resolve subtle questions about the geometry of the actual solution set using new and innovative tools and techniques. This project will refine, abstract, and generalize these new methods and explore deeper applications to open problems in algebraic geometry.The PI will use tropical and nonarchimedean methods to continue his work on refined curve counting, and on unstable cohomology of moduli spaces of curves, proceeding beyond the top graded piece of the weight filtration to examine the full weight-graded cohomology ring. He will also initiate an analogous study of the weight graded cohomology of the moduli space of abelian varieties, using the topology of moduli spaces of tropical abelian varieties and the combinatorial algebra of complexes built out of unimodular matroids and perfect quadratic forms. Additional projects will attack the motivic, p-adic, and topological monodromy conjectures for Newton nondegenerate singularities, using the combinatorics of relative local h-polynomials and Stapledon’s formulas for monodromy, and attempt to resolve outstanding (and mutually contradictory) conjectures of Kontsevich and Morita in the homology of commutative graph complexes.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2002922.xml,Pendant Photochromic Switches Enabling Fluxional Macromolecular Pi-Electronics,NSF,2020-07-01,2023-06-30,600000,"With this award, the Macromolecular, Supramolecular and Nanochemistry Program in the Division of Chemistry is funding Professors John D. Tovar and Arthur E. Bragg of the Department of Chemistry at Johns Hopkins University to understand how pi-conjugated building blocks with fluxional electronic structures driven by light absorption can tune the properties of organic electronic materials.  Organic electronics can impact many areas of contemporary energy and electrical science, with innovations on the horizon in fields such as large-area lighting, energy storage, and even biomedicine.  These materials are essentially long chain plastic-like molecules but with unusual electronic properties imparted through special bonds called pi-bonds.  The alternation of pi-bonds with single bonds enables the molecules or polymers to conduct electricity when these bonds are varied.  In this research, the investigators first construct molecular building blocks for the polymers with different electronic properties.  Computational modelling is utilized to systematically investigate how chemical changes introduced into the building blocks affect the overall properties of the polymers from which they are formed.  Advanced spectroscopic and electrical measurement techniques are used to understand changes in electronic and molecular structures in real time.  Such systematic investigations generate knowledge that could lead to significant improvements in cutting-edge applications ranging from high-speed transistors to energy storage.  Students associated with this project are exposed to interdisciplinary research and prepared to be leaders in the next generation of interdisciplinary scientists.  Education and outreach activities targeting students and underrepresented minority groups in urban Baltimore high schools provide additional creative opportunities for broader community involvement.<br/><br/>This work is focused on the exploration of organic electronic materials derived from complex aromatic structures as components of photoswitchable conjugated polymers.  The research plan involves the synthesis of photoswitchable fluxional monomer units triggered by various external stimuli and extensions to oligomeric and polymeric analogues, computational modeling to understand how these chemical changes impact electronic properties, and spectroscopic interrogations using steady-state and ultrafast or other time-resolved techniques to capture changes in electronic and molecular structure.  The general research approach is primarily concerned with new strategies to achieve highly polarizable polymer electronic structures as opposed to particular bandgap engineering of energy levels. The ideas elucidated from this project could be transitioned to many types of application-specific materials designs such as stimuli-switchable transistors whereby conjugation pathways can be controlled externally.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2000391.xml,Development of More Active and More Selective Catalysts for ATRP,NSF,2020-09-01,2024-08-31,600000,"With this award, the Macromolecular, Supramolecular, and Nanochemistry Program in the Chemistry Division is supporting Professor Krzysztof Matyjaszewski at Carnegie Mellon University to develop new Cu-based catalysts for atom transfer radical polymerization (ATRP). Radical polymerization is a chemical reaction that sequentially adds small molecules of monomers to form long polymer chains that consist of hundreds or thousands of repeating units. This powerful synthetic method is used to make nearly half of all plastics, about 100 million tons worldwide each year. ATRP is a special type of radical polymerization that can prepare advanced polymers with precisely controlled chain lengths and shapes. ATRP is also used to prepare various hybrid materials by chemically linking synthetic polymers to biomolecules and to surfaces of inorganic particles. Professor Matyjaszewski’s team develops new catalysts for such important ATRP processes with enhanced activity and selectivity. This study will contribute to the creation of more precise polymers and expansion of range of polymerizable monomers, while using diminished levels of catalyst. By employing “green” ATRP catalysts, this research provides environmentally improved polymerization conditions, relevant for the industrial production of polymers. The broader impacts include the training undergraduate and graduate students in polymer science and educating the public about controlled radical polymerization via instructional webpages and videos.<br/><br/>Under this ward, Professor Matyjaszewski and his  team will explore preparation of catalysts with much higher activity than the original ATRP catalysts and that retain selectivity for the ATRP pathway while suppressing Cu-induced termination and transfer reactions. ATRP is based on a reversible atom transfer process between dormant alkyl halides and growing radicals, catalyzed by redox active transition metal complexes. ATRP is used to prepare advanced polymers with well-defined architecture. They include uniform linear chains and also star, comb and cyclic polymers, as well as statistical, periodic, gradient and block copolymers. The new ATRP catalysts are based on ligands belonging to the tris(pyridylmetyl)amine, or tetra-aza-macrocycle families. Thermodynamic and kinetic properties of new complexes will be determined through electrochemical, spectroscopic and computational methods to establish the comprehensive structure/reactivity relationship. The new catalysts being developed will be employed for ATRP of (meth)acrylates and (meth)acrylamides and also for less ATRP-active monomers such as vinyl esters and N-vinylamides. The catalysts will be evaluated for their ability to activate alkyl (pseudo)halides with F-C, N3-C, SCN-C bonds, much less active species than the alkyl bromides or chlorides that are typically used in ATRP. The extremely reactive Cu-based catalysts react not only with alkyl halides but also with propagating radicals, forming transient organocuprate species. The latter paramagnetic compounds induce termination processes. Therefore, the mechanism of Cu-catalyzed termination will be studied in great detail to gain insight into the design of more selective catalysts and optimize polymerization conditions.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2000670.xml,Spectrum Innovates Pathway: Preparing Autistic Students to Enter Higher Education and Careers in Advanced Technological Fields,NSF,2020-08-15,2023-07-31,599836,"Based on recent estimates, about 1 in 60 children born in the United States are diagnosed with autism spectrum disorder.   Autism Speaks (autismspeaks.org) currently reports that as many as 90% of autistic individuals are unemployed or underemployed.  To address the autistic community's employment needs and the forecasted shortage of technicians in the aeronautics industry over the next twenty years, nfpNEXUS, Inc. will partner with Vaughn College of Aeronautics and Technology, Inc. to develop and implement the Spectrum Innovates Pathway project.  Design of this Pathway is informed by the findings of the National Academies of Sciences, Engineering, and Medicine (2018) on best practices for learning, as well as recent research that has led to modified and new cognitive models for autism. The Spectrum Innovates Pathway will support autistic students who share a common passion for aeronautics. The primary goal of the Pathway is to prepare autistic students to succeed in higher education and to enter the workforce in advanced technician roles.  This project will provide full immersion of autistic students in a STEM learning environment designed to support them as they acquire the knowledge and certifications needed for their entry into advanced technical careers.  &lt;br/&gt;&lt;br/&gt;The project will develop and implement a bridge year for autistic students who have completed their high school requirements. The project will leverage experiential learning to support students’ acclimation to the collegiate and work environments and development of critical life and practical skills. A robust recruitment process for students will increase awareness of the availability of the advanced technician options for autistic individuals. Students will be included in a cohort for the duration of the program, which is expected to contribute to creating a supportive learning environment. Student projects will model real world challenges to reinforce existing knowledge and skills. Industry partners will serve a dual role as advisors on emergent work force skills as well as identifying and promoting opportunities for autistic individuals in the job market. The Innovation Hub at Vaughn College of Aeronautics and Technology includes the Maker Space, Composite Prototyping Center, Robotics Lab, Flight Simulators, and Air Traffic Control Simulators.  This Hub will inform and drive the project and its methodology. Dissemination strategies will include postings about project activities and results on the project website and the Autism Speaks website, as well as through local workshops and presentations at conferences.  This project is funded by the Advanced Technological Education program that focuses on the education of technicians for the advanced-technology fields that drive the nation's economy.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2001248.xml,Diophantine Approximation and Aperiodic Order,NSF,2020-07-15,2024-06-30,186734,"This award aims to develop and harvest a collection of interrelated results spanning the fields of number theory, dynamical systems, and aperiodic order. A central theme is to explore problems which have known applications to the mathematics underpinning models for physical materials called quasicrystals. The research goals are to use tools from number theory, probability, topological dynamics, and ergodic theory, to prove new results about a number of long standing open problems with significance in the world of pure mathematics, which also have the potential for real world applications. The Principal Investigarot will mentor graduate students on topics related to this award.&lt;br/&gt;&lt;br/&gt;Quasicrystals are physical materials with highly ordered molecular structures, causing them to produce pure point diffraction patterns, but which also possess rotational symmetries that are forbidden by the classical Crystallographic Restriction Theorem. The discovery of these materials in the 1980's by Dan Shechtman revolutionized the world of crystallography and later earned Shechtman a Nobel prize. In the mathematical world the study, and even the existence, of quasicrystals is intimately related to the theory of aperiodic tilings of Euclidean space. Quasicrystals are often modeled by cut and project sets, which give an abundance of examples of such tilings and which, generically, are good examples of systems which possess `aperiodic order'. In the last decade there has been an explosion of insight linking problems in number theory with problems about cut and project sets. A number of unsolved problems in Diophantine approximation have been reformulated, and some have been solved, using ideas from the theory of mathematical quasicrystals. Major problems about sets with aperiodic order have also been solved by understanding the reverse connections. The research in this project is centered around well-known open problems such as the Littlewood Conjecture and the Pisot Conjecture, which are sitting on the border of these subjects. It aims to develop the theory around them in order to create progress in both the realms of pure and applied mathematics.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2000452.xml,Catalyst Project: Photoelectrochemical Water Splitting for Hydrogen and Oxygen Production Using Nanostructured Materials,NSF,2020-06-01,2024-05-31,149971,"Catalyst Projects provide support for Historically Black Colleges and Universities to work towards establishing research capacity of faculty to strengthen science, technology, engineering and mathematics undergraduate education and research. It is expected that the award will further the faculty member's research capability, improve research and teaching at the institution and involve undergraduate students in research experiences.  The award to the University of Arkansas Pine Bluff has potential to broaden impacts in several areas. The goal of this project is to study the use of light, electricity and novel materials to generate hydrogen and oxygen from water. The production of these gases proves to be useful for proposed space travel. Several undergraduate students will participate in this work and learn techniques and theories related to nanomaterial fabrication and energy production.  This project is jointly funded by HBCU-UP and the Established Program to Stimulate Competitive Research (EPSCoR).&lt;br/&gt;&lt;br/&gt;Photoelectrochemical (PEC) water splitting using nanomaterials is one of the most promising techniques to generate hydrogen in an easier, cheaper and sustainable way. PEC water splitting is a process which involves generation of charge carriers (electrons and holes) by solar radiation and their transfer to respective electrodes to produce H2 and O2. However, charge separation and transportation are the major concerns in PEC water splitting. Here we propose to develop a novel and highly efficient PEC water splitting nanocatalyst, by carefully growing a PEC-efficient catalyst with a suitable band width nanomaterial on a three-dimensional nanographene scaffold via a convenient one-pot hydrothermal synthesis. This novel nanocatalyst can achieve high surface to volume ratio which therefore facilitates charge separation and suppress electron-hole pair recombination. In addition, the desired PEC catalyst’s band width can be realized by controlling its size and morphology. Optimum conditions for synthesizing the desired nanostructures will be established to maximize the water-splitting efficiency. Results will help solve the hydrogen and oxygen shortage during space missions and surface applications.&lt;br/&gt;&lt;br/&gt;This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
2002476.xml,P2C2: Collaborative Research: Transient forcing of the Local Last Glacial Maximum in the tropical Peruvian Andes,NSF,2020-06-15,2025-05-31,165597,"The geological history of tropical glaciers can provide scientists an important perspective from the past on how Earth’s climate system responds to human activity. This project will look to the geological record of tropical glaciers in the Andes Mountains for a perspective on past changes in the glacial ice extent and how these changes may relate to records of changes in the atmospheric conditions during periods of abrupt climate change. These records of glacial activity will help place the current state of rapidly retreating ice margins in the tropics in a longer-term context that extends well beyond the instrumental record. Finally, by integrating multiple archives of past climates and modeling the causes of tropical high elevation climate changes, this work will improve our understanding of abrupt global climate changes because these regions had much larger glaciers in the past. By determining ages on the rocks that were transported by the ancient glaciers and combining analyses of lake sediments deposited continuously below the glaciers, this research will provide a detailed record of how much the glaciers changed and when. The research team will incorporate climate model simulations to test the causes of tropical climate changes and how they relate to high latitude warming and cooling events. This project will train 3 graduate students, and at least 4 undergraduate students. The project team will improve K-12 science education and engagement by exposing teachers and students (both local and abroad) to research through the GLOBE program (Global Learning and Observation to Benefit the Environment). The team also will partner with INAIGEM in Peru to broaden project impact, and help with the mission of educational capacity building.<br/> <br/>This project will evaluate tropical glacial variability during the local Last Glacial Maximum (LLGM) to better understand how low latitude temperature variability and the hydrologic cycle were modulated by ocean and atmospheric processes. This research has the following objectives: 1) determine robust ages of moraines using terrestrial cosmogenic radionuclide (TCN) dating methods to provide information about both the timing and extent of multiple LLGM ice limits; 2) rigorously evaluate centennial-scale records of glacial flour flux using high-resolution geochemical archives from the recently acquired Lake Junín drill-core record; 3) test the scale and climatic forcing of LLGM climate variability using climate model simulations; 4) test the scale of LLGM glacier variability responses to climatic forcing using energy and mass-balance models. This research will produce multi-proxy, centennial-scale records of mountain glaciation in Peru spanning the LLGM, at a scale and resolution that has not yet been achieved. This resolution will be sufficient to make comparisons with ice cores from Greenland, Antarctica, and the tropical Andes, as well as decadal-scale speleothem-based stable isotope records of hydroclimate changes from the same (Lake Junín) catchment. This will allow for a collective evaluation of mountain glacier archives and other regional records of past atmospheric variability that will improve our understanding of the role of the tropics in abrupt global change events on millennial timescales. These records will provide insight on the sensitivity of tropical glaciers to a range of climate conditions, both atmospheric and oceanic, and particularly how the tropical climate system responds to meltwater forcing. Ultimately, these records will inform how the tropical hydrologic cycle drives glacial-interglacial cycles in both the low and high latitudes.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria."
